priority_rank,unit,y_true_rul_raw,y_pred_rul,error,abs_error
37,21,57.0,78.00783281163285,21.007832811632852,21.007832811632852
38,72,50.0,81.89628467893952,31.896284678939523,31.896284678939523
39,98,59.0,82.31997034809912,23.31997034809912,23.31997034809912
40,94,55.0,83.12932134643887,28.12932134643887,28.12932134643887
41,84,58.0,84.19987389371133,26.199873893711327,26.199873893711327
42,97,82.0,86.95905421245419,4.959054212454191,4.959054212454191
43,19,87.0,88.65322555065322,1.653225550653218,1.653225550653218
44,63,72.0,89.67836674269445,17.67836674269445,17.67836674269445
45,80,90.0,90.59750480047252,0.597504800472521,0.597504800472521
46,47,135.0,92.89935895952331,-42.10064104047669,42.10064104047669
47,6,93.0,93.27661348022824,0.2766134802282352,0.2766134802282352
48,13,95.0,93.33979251123367,-1.660207488766332,1.660207488766332
49,86,89.0,94.26846911085713,5.268469110857126,5.268469110857126
50,43,59.0,95.07904729530911,36.07904729530911,36.07904729530911
51,11,97.0,95.12036411704335,-1.8796358829566486,1.8796358829566486
52,33,106.0,97.31560612955656,-8.684393870443444,8.684393870443444
53,5,91.0,99.25954030475971,8.25954030475971,8.25954030475971
54,12,124.0,99.78057249343891,-24.21942750656109,24.21942750656109
55,14,107.0,101.63159828340265,-5.368401716597347,5.368401716597347
56,70,94.0,102.39219275045579,8.392192750455791,8.392192750455791
57,57,103.0,103.21084052652313,0.21084052652312835,0.21084052652312835
58,15,83.0,104.1793297653484,21.1793297653484,21.1793297653484
59,75,113.0,105.67234457763183,-7.327655422368167,7.327655422368167
60,65,128.0,106.1482521213468,-21.8517478786532,21.8517478786532
61,28,97.0,106.24289144972617,9.242891449726173,9.242891449726173
62,7,91.0,106.50284202811775,15.502842028117755,15.502842028117755
63,50,79.0,106.67368867934094,27.67368867934094,27.67368867934094
64,10,96.0,106.76822117739368,10.768221177393684,10.768221177393684
65,87,116.0,107.13421844320281,-8.865781556797188,8.865781556797188
66,95,128.0,107.16307099686301,-20.836929003136987,20.836929003136987
67,74,126.0,107.26290216512291,-18.73709783487709,18.73709783487709
68,30,115.0,107.78835040384696,-7.211649596153038,7.211649596153038
69,60,100.0,108.81912646907429,8.819126469074291,8.819126469074291
70,27,66.0,110.21393722228262,44.213937222282624,44.213937222282624
71,48,92.0,110.7224997773054,18.7224997773054,18.7224997773054
72,73,131.0,113.18726962120238,-17.812730378797625,17.812730378797625
73,9,111.0,113.38877774297896,2.3887777429789594,2.3887777429789594
74,16,84.0,113.45490824786405,29.454908247864054,29.454908247864054
75,29,90.0,114.32797960900608,24.32797960900608,24.32797960900608
76,54,97.0,115.03436710961458,18.03436710961458,18.03436710961458
77,71,118.0,115.17188924418534,-2.828110755814663,2.828110755814663
78,79,63.0,115.20548360050542,52.20548360050542,52.20548360050542
79,96,137.0,116.30323520323385,-20.696764796766146,20.696764796766146
80,69,121.0,116.52303281169087,-4.476967188309132,4.476967188309132
81,88,115.0,117.23957263446188,2.2395726344618794,2.2395726344618794
82,99,117.0,117.76171344733895,0.7617134473389484,0.7617134473389484
83,25,145.0,117.82873872016289,-27.17126127983711,27.17126127983711
84,51,114.0,118.02159025259604,4.021590252596042,4.021590252596042
85,67,77.0,118.20969691492748,41.20969691492748,41.20969691492748
86,44,109.0,118.28819903076581,9.28819903076581,9.28819903076581
87,39,142.0,118.66031333422711,-23.339686665772888,23.339686665772888
88,85,118.0,118.78941407139101,0.7894140713910076,0.7894140713910076
89,4,82.0,119.48163090346247,37.481630903462474,37.481630903462474
90,26,119.0,119.56793999138345,0.5679399913834544,0.5679399913834544
91,22,111.0,119.78929196446188,8.789291964461881,8.789291964461881
92,23,113.0,120.09056998392666,7.090569983926656,7.090569983926656
93,89,136.0,120.47037603756877,-15.52962396243123,15.52962396243123
94,55,137.0,120.49194781267845,-16.508052187321553,16.508052187321553
95,59,114.0,120.87293723976069,6.872937239760688,6.872937239760688
96,2,98.0,120.96729661278543,22.967296612785432,22.967296612785432
97,8,95.0,121.14664823172518,26.14664823172518,26.14664823172518
98,83,137.0,122.08045599368232,-14.919544006317679,14.919544006317679
99,1,112.0,122.50111227805932,10.501112278059324,10.501112278059324
100,78,107.0,124.45287297417565,17.452872974175648,17.452872974175648
