priority_rank,dataset,evaluation_scope,unit,cycle,y_true_rul_raw,y_pred_rul,error,abs_error,maintenance_band,decision_recommendation,risk_flag
35,FD001,official_test,32,145,48.0,54.54861682558828,6.548616825588283,6.548616825588283,schedule_soon,programar mantenimiento preventivo,within_20_cycles
36,FD001,official_test,17,165,50.0,54.77728552098955,4.777285520989551,4.777285520989551,schedule_soon,programar mantenimiento preventivo,within_20_cycles
37,FD001,official_test,72,131,50.0,58.01341193833571,8.013411938335707,8.013411938335707,schedule_soon,programar mantenimiento preventivo,within_20_cycles
38,FD001,official_test,38,125,50.0,58.2355237663365,8.235523766336499,8.235523766336499,schedule_soon,programar mantenimiento preventivo,within_20_cycles
39,FD001,official_test,94,133,55.0,64.99962440168565,9.99962440168565,9.99962440168565,monitor_close,monitorear de cerca,within_20_cycles
40,FD001,official_test,21,148,57.0,65.7578740914254,8.757874091425407,8.757874091425407,monitor_close,monitorear de cerca,within_20_cycles
41,FD001,official_test,27,140,66.0,69.07779180538941,3.0777918053894098,3.0777918053894098,monitor_close,monitorear de cerca,within_20_cycles
42,FD001,official_test,63,155,72.0,70.5693260326666,-1.430673967333405,1.430673967333405,monitor_close,monitorear de cerca,within_20_cycles
43,FD001,official_test,10,192,96.0,73.38533686778784,-22.61466313221216,22.61466313221216,monitor_close,monitorear de cerca,conservative_underestimate
44,FD001,official_test,13,195,95.0,76.01885471240561,-18.981145287594387,18.981145287594387,monitor_close,monitorear de cerca,within_20_cycles
45,FD001,official_test,98,121,59.0,80.72678192602531,21.72678192602531,21.72678192602531,monitor_close,monitorear de cerca,dangerous_overestimate
46,FD001,official_test,80,133,90.0,80.7776278093449,-9.222372190655094,9.222372190655094,monitor_close,monitorear de cerca,within_20_cycles
47,FD001,official_test,70,152,94.0,81.3600959784187,-12.639904021581302,12.639904021581302,monitor_close,monitorear de cerca,within_20_cycles
48,FD001,official_test,19,135,87.0,81.51681704975671,-5.48318295024329,5.48318295024329,monitor_close,monitorear de cerca,within_20_cycles
49,FD001,official_test,79,101,63.0,83.93993868583232,20.93993868583232,20.93993868583232,monitor_close,monitorear de cerca,dangerous_overestimate
50,FD001,official_test,45,152,114.0,85.12220995096665,-28.87779004903335,28.87779004903335,monitor_close,monitorear de cerca,conservative_underestimate
51,FD001,official_test,30,143,115.0,87.51160069648162,-27.488399303518374,27.488399303518374,monitor_close,monitorear de cerca,conservative_underestimate
52,FD001,official_test,12,217,124.0,91.28409319745856,-32.715906802541426,32.715906802541426,continue_monitoring,seguir operando con monitoreo normal,conservative_underestimate
53,FD001,official_test,60,147,100.0,95.67927159771494,-4.320728402285056,4.320728402285056,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
54,FD001,official_test,29,171,90.0,95.98422171260732,5.984221712607322,5.984221712607322,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
55,FD001,official_test,4,106,82.0,97.180795473365,15.18079547336501,15.18079547336501,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
56,FD001,official_test,75,88,113.0,97.60249840193092,-15.397501598069084,15.397501598069084,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
57,FD001,official_test,57,160,103.0,97.62947691838244,-5.370523081617549,5.370523081617549,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
58,FD001,official_test,28,158,97.0,98.3533582299649,1.353358229964897,1.353358229964897,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
59,FD001,official_test,8,166,95.0,98.46975085277565,3.469750852775647,3.469750852775647,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
60,FD001,official_test,16,113,84.0,98.48844157735168,14.488441577351663,14.488441577351663,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
61,FD001,official_test,5,98,91.0,100.11122773216866,9.111227732168658,9.111227732168658,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
62,FD001,official_test,50,74,79.0,102.21860319107812,23.21860319107812,23.21860319107812,continue_monitoring,seguir operando con monitoreo normal,dangerous_overestimate
63,FD001,official_test,97,134,82.0,103.03188844999367,21.031888449993687,21.031888449993687,continue_monitoring,seguir operando con monitoreo normal,dangerous_overestimate
64,FD001,official_test,99,97,117.0,103.28169224821384,-13.71830775178617,13.71830775178617,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
65,FD001,official_test,7,160,91.0,104.11251267036836,13.112512670368346,13.112512670368346,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
66,FD001,official_test,51,144,114.0,104.7891571840239,-9.210842815976092,9.210842815976092,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
67,FD001,official_test,86,110,89.0,104.94388753424474,15.943887534244736,15.943887534244736,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
68,FD001,official_test,89,177,136.0,105.36328331388964,-30.63671668611036,30.63671668611036,continue_monitoring,seguir operando con monitoreo normal,conservative_underestimate
69,FD001,official_test,47,73,135.0,106.21766949193352,-28.78233050806648,28.78233050806648,continue_monitoring,seguir operando con monitoreo normal,conservative_underestimate
70,FD001,official_test,11,83,97.0,107.18881022581982,10.188810225819822,10.188810225819822,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
71,FD001,official_test,33,50,106.0,107.25376224039375,1.253762240393769,1.253762240393769,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
72,FD001,official_test,59,94,114.0,107.91013545326626,-6.089864546733736,6.089864546733736,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
73,FD001,official_test,9,55,111.0,110.06230817304576,-0.93769182695425,0.93769182695425,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
74,FD001,official_test,15,76,83.0,110.65752765399812,27.65752765399812,27.65752765399812,continue_monitoring,seguir operando con monitoreo normal,dangerous_overestimate
75,FD001,official_test,14,46,107.0,110.72348630634464,3.7234863063446255,3.7234863063446255,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
76,FD001,official_test,6,105,93.0,112.02873159983712,19.02873159983712,19.02873159983712,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
77,FD001,official_test,54,121,97.0,112.37181968072969,15.371819680729672,15.371819680729672,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
78,FD001,official_test,74,137,126.0,112.53894449728168,-13.461055502718324,13.461055502718324,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
79,FD001,official_test,73,112,131.0,112.55625490705444,-18.44374509294556,18.44374509294556,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
80,FD001,official_test,88,68,115.0,112.65206434204734,-2.347935657952661,2.347935657952661,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
81,FD001,official_test,87,56,116.0,112.86414232391031,-3.135857676089685,3.135857676089685,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
82,FD001,official_test,65,71,128.0,112.9994525451969,-15.000547454803096,15.000547454803096,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
83,FD001,official_test,96,97,137.0,113.23199506667382,-23.768004933326186,23.768004933326186,continue_monitoring,seguir operando con monitoreo normal,conservative_underestimate
84,FD001,official_test,48,78,92.0,115.94629439382012,23.946294393820125,23.946294393820125,continue_monitoring,seguir operando con monitoreo normal,dangerous_overestimate
85,FD001,official_test,67,71,77.0,116.58611618153364,39.58611618153364,39.58611618153364,continue_monitoring,seguir operando con monitoreo normal,dangerous_overestimate
86,FD001,official_test,55,113,137.0,116.81893164490472,-20.18106835509528,20.18106835509528,continue_monitoring,seguir operando con monitoreo normal,conservative_underestimate
87,FD001,official_test,95,89,128.0,117.91649653390492,-10.08350346609508,10.08350346609508,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
88,FD001,official_test,2,49,98.0,118.58923969659917,20.589239696599165,20.589239696599165,continue_monitoring,seguir operando con monitoreo normal,dangerous_overestimate
89,FD001,official_test,71,68,118.0,119.0792647340568,1.079264734056807,1.079264734056807,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
90,FD001,official_test,44,54,109.0,119.2071700466043,10.207170046604304,10.207170046604304,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
91,FD001,official_test,69,54,121.0,119.51578190220226,-1.4842180977977364,1.4842180977977364,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
92,FD001,official_test,23,130,113.0,119.55949709511016,6.559497095110174,6.559497095110174,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
93,FD001,official_test,26,76,119.0,119.81218259233412,0.8121825923341106,0.8121825923341106,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
94,FD001,official_test,83,73,137.0,119.86409944373386,-17.135900556266137,17.135900556266137,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
95,FD001,official_test,78,72,107.0,121.5537524220442,14.553752422044212,14.553752422044212,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
96,FD001,official_test,85,34,118.0,123.13849566792176,5.13849566792176,5.13849566792176,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
97,FD001,official_test,25,48,145.0,123.62698408878954,-21.37301591121046,21.37301591121046,continue_monitoring,seguir operando con monitoreo normal,conservative_underestimate
98,FD001,official_test,22,39,111.0,124.14793250971653,13.147932509716526,13.147932509716526,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
99,FD001,official_test,1,31,112.0,125.20118630573954,13.20118630573954,13.20118630573954,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
100,FD001,official_test,39,37,142.0,126.0832143287619,-15.916785671238102,15.916785671238102,continue_monitoring,seguir operando con monitoreo normal,within_20_cycles
1,FD002,official_test,116,171,7.0,4.051266193389893,-2.9487338066101074,2.9487338066101074,urgent_replace,priorizar intervencion inmediata,within_20_cycles
2,FD002,official_test,177,191,6.0,4.593525409698486,-1.4064745903015137,1.4064745903015137,urgent_replace,priorizar intervencion inmediata,within_20_cycles
3,FD002,official_test,138,200,7.0,5.4491472244262695,-1.5508527755737305,1.5508527755737305,urgent_replace,priorizar intervencion inmediata,within_20_cycles
4,FD002,official_test,210,182,8.0,5.95729398727417,-2.04270601272583,2.04270601272583,urgent_replace,priorizar intervencion inmediata,within_20_cycles
5,FD002,official_test,11,162,6.0,6.2473673820495605,0.2473673820495605,0.2473673820495605,urgent_replace,priorizar intervencion inmediata,within_20_cycles
6,FD002,official_test,211,155,6.0,6.497629642486572,0.4976296424865722,0.4976296424865722,urgent_replace,priorizar intervencion inmediata,within_20_cycles
7,FD002,official_test,252,249,12.0,6.67189359664917,-5.32810640335083,5.32810640335083,urgent_replace,priorizar intervencion inmediata,within_20_cycles
8,FD002,official_test,7,184,6.0,6.885422706604004,0.8854227066040039,0.8854227066040039,urgent_replace,priorizar intervencion inmediata,within_20_cycles
9,FD002,official_test,186,166,10.0,7.041839122772217,-2.958160877227783,2.958160877227783,urgent_replace,priorizar intervencion inmediata,within_20_cycles
10,FD002,official_test,14,160,11.0,7.244603157043457,-3.755396842956543,3.755396842956543,urgent_replace,priorizar intervencion inmediata,within_20_cycles
11,FD002,official_test,50,164,13.0,7.586508274078369,-5.413491725921631,5.413491725921631,urgent_replace,priorizar intervencion inmediata,within_20_cycles
12,FD002,official_test,227,180,14.0,7.667176723480225,-6.332823276519775,6.332823276519775,urgent_replace,priorizar intervencion inmediata,within_20_cycles
13,FD002,official_test,90,163,8.0,7.969776630401611,-0.0302233695983886,0.0302233695983886,urgent_replace,priorizar intervencion inmediata,within_20_cycles
14,FD002,official_test,124,149,7.0,8.068938255310059,1.0689382553100586,1.0689382553100586,urgent_replace,priorizar intervencion inmediata,within_20_cycles
15,FD002,official_test,231,187,8.0,8.332942962646484,0.3329429626464844,0.3329429626464844,urgent_replace,priorizar intervencion inmediata,within_20_cycles
16,FD002,official_test,44,164,6.0,8.342216491699219,2.3422164916992188,2.3422164916992188,urgent_replace,priorizar intervencion inmediata,within_20_cycles
17,FD002,official_test,134,186,9.0,8.431836128234863,-0.5681638717651367,0.5681638717651367,urgent_replace,priorizar intervencion inmediata,within_20_cycles
18,FD002,official_test,9,161,11.0,8.897807121276855,-2.1021928787231445,2.1021928787231445,urgent_replace,priorizar intervencion inmediata,within_20_cycles
19,FD002,official_test,91,278,9.0,9.236572265625,0.236572265625,0.236572265625,urgent_replace,priorizar intervencion inmediata,within_20_cycles
20,FD002,official_test,103,186,8.0,9.31736183166504,1.317361831665039,1.317361831665039,urgent_replace,priorizar intervencion inmediata,within_20_cycles
21,FD002,official_test,173,117,14.0,9.507208824157717,-4.492791175842285,4.492791175842285,urgent_replace,priorizar intervencion inmediata,within_20_cycles
22,FD002,official_test,185,254,19.0,10.02728271484375,-8.97271728515625,8.97271728515625,urgent_replace,priorizar intervencion inmediata,within_20_cycles
23,FD002,official_test,159,187,9.0,10.074021339416504,1.074021339416504,1.074021339416504,urgent_replace,priorizar intervencion inmediata,within_20_cycles
24,FD002,official_test,99,163,9.0,10.395647048950195,1.395647048950195,1.395647048950195,urgent_replace,priorizar intervencion inmediata,within_20_cycles
25,FD002,official_test,208,166,8.0,10.571906089782717,2.571906089782715,2.571906089782715,urgent_replace,priorizar intervencion inmediata,within_20_cycles
26,FD002,official_test,245,265,16.0,10.757604598999023,-5.242395401000977,5.242395401000977,urgent_replace,priorizar intervencion inmediata,within_20_cycles
27,FD002,official_test,148,157,11.0,11.030303001403809,0.0303030014038085,0.0303030014038085,urgent_replace,priorizar intervencion inmediata,within_20_cycles
28,FD002,official_test,80,278,15.0,11.27659511566162,-3.723404884338379,3.723404884338379,urgent_replace,priorizar intervencion inmediata,within_20_cycles
29,FD002,official_test,64,233,14.0,11.438436508178713,-2.561563491821289,2.561563491821289,urgent_replace,priorizar intervencion inmediata,within_20_cycles
30,FD002,official_test,190,158,12.0,11.737263679504396,-0.2627363204956054,0.2627363204956054,urgent_replace,priorizar intervencion inmediata,within_20_cycles
31,FD002,official_test,45,195,15.0,11.793904304504396,-3.206095695495605,3.206095695495605,urgent_replace,priorizar intervencion inmediata,within_20_cycles
32,FD002,official_test,111,131,9.0,11.865674018859863,2.8656740188598637,2.8656740188598637,urgent_replace,priorizar intervencion inmediata,within_20_cycles
33,FD002,official_test,32,170,11.0,12.640966415405272,1.6409664154052734,1.6409664154052734,urgent_replace,priorizar intervencion inmediata,within_20_cycles
34,FD002,official_test,164,199,14.0,13.015592575073242,-0.9844074249267578,0.9844074249267578,urgent_replace,priorizar intervencion inmediata,within_20_cycles
35,FD002,official_test,5,148,15.0,13.226484298706056,-1.773515701293945,1.773515701293945,urgent_replace,priorizar intervencion inmediata,within_20_cycles
36,FD002,official_test,70,264,17.0,13.403109550476074,-3.596890449523926,3.596890449523926,urgent_replace,priorizar intervencion inmediata,within_20_cycles
37,FD002,official_test,242,194,17.0,13.754191398620604,-3.2458086013793945,3.2458086013793945,urgent_replace,priorizar intervencion inmediata,within_20_cycles
38,FD002,official_test,146,144,10.0,14.057637214660645,4.0576372146606445,4.0576372146606445,urgent_replace,priorizar intervencion inmediata,within_20_cycles
39,FD002,official_test,65,367,11.0,14.371908187866213,3.371908187866211,3.371908187866211,urgent_replace,priorizar intervencion inmediata,within_20_cycles
40,FD002,official_test,120,160,15.0,15.136406898498535,0.1364068984985351,0.1364068984985351,urgent_replace,priorizar intervencion inmediata,within_20_cycles
41,FD002,official_test,192,161,13.0,15.218482971191406,2.2184829711914062,2.2184829711914062,urgent_replace,priorizar intervencion inmediata,within_20_cycles
42,FD002,official_test,48,132,13.0,15.31614112854004,2.316141128540039,2.316141128540039,urgent_replace,priorizar intervencion inmediata,within_20_cycles
43,FD002,official_test,22,159,10.0,15.318238258361816,5.318238258361816,5.318238258361816,urgent_replace,priorizar intervencion inmediata,within_20_cycles
44,FD002,official_test,102,122,8.0,15.486329078674316,7.486329078674316,7.486329078674316,urgent_replace,priorizar intervencion inmediata,within_20_cycles
45,FD002,official_test,100,149,14.0,15.554651260375977,1.5546512603759766,1.5546512603759766,urgent_replace,priorizar intervencion inmediata,within_20_cycles
46,FD002,official_test,225,166,11.0,15.980816841125488,4.980816841125488,4.980816841125488,urgent_replace,priorizar intervencion inmediata,within_20_cycles
47,FD002,official_test,182,134,14.0,16.06690788269043,2.0669078826904297,2.0669078826904297,urgent_replace,priorizar intervencion inmediata,within_20_cycles
48,FD002,official_test,84,204,17.0,16.87596321105957,-0.1240367889404296,0.1240367889404296,urgent_replace,priorizar intervencion inmediata,within_20_cycles
49,FD002,official_test,236,274,12.0,17.321046829223633,5.321046829223633,5.321046829223633,urgent_replace,priorizar intervencion inmediata,within_20_cycles
50,FD002,official_test,43,184,18.0,18.194026947021484,0.1940269470214843,0.1940269470214843,urgent_replace,priorizar intervencion inmediata,within_20_cycles
51,FD002,official_test,161,174,13.0,18.433568954467773,5.433568954467773,5.433568954467773,urgent_replace,priorizar intervencion inmediata,within_20_cycles
52,FD002,official_test,87,131,21.0,18.49786758422852,-2.5021324157714844,2.5021324157714844,urgent_replace,priorizar intervencion inmediata,within_20_cycles
53,FD002,official_test,1,258,18.0,18.99754524230957,0.9975452423095704,0.9975452423095704,urgent_replace,priorizar intervencion inmediata,within_20_cycles
54,FD002,official_test,176,200,23.0,19.599124908447266,-3.4008750915527344,3.4008750915527344,urgent_replace,priorizar intervencion inmediata,within_20_cycles
55,FD002,official_test,158,171,15.0,19.9851131439209,4.985113143920898,4.985113143920898,urgent_replace,priorizar intervencion inmediata,within_20_cycles
56,FD002,official_test,19,172,22.0,22.882238388061523,0.8822383880615234,0.8822383880615234,urgent_replace,priorizar intervencion inmediata,within_20_cycles
57,FD002,official_test,97,213,31.0,24.36292839050293,-6.63707160949707,6.63707160949707,urgent_replace,priorizar intervencion inmediata,within_20_cycles
58,FD002,official_test,250,234,23.0,24.65749740600586,1.6574974060058594,1.6574974060058594,urgent_replace,priorizar intervencion inmediata,within_20_cycles
59,FD002,official_test,42,137,27.0,24.943012237548828,-2.056987762451172,2.056987762451172,urgent_replace,priorizar intervencion inmediata,within_20_cycles
60,FD002,official_test,179,156,35.0,27.96093368530273,-7.039066314697266,7.039066314697266,urgent_replace,priorizar intervencion inmediata,within_20_cycles
61,FD002,official_test,150,196,34.0,28.50604057312012,-5.493959426879883,5.493959426879883,urgent_replace,priorizar intervencion inmediata,within_20_cycles
62,FD002,official_test,13,164,30.0,30.07278823852539,0.0727882385253906,0.0727882385253906,schedule_soon,programar mantenimiento preventivo,within_20_cycles
63,FD002,official_test,209,131,23.0,31.20694732666016,8.206947326660156,8.206947326660156,schedule_soon,programar mantenimiento preventivo,within_20_cycles
64,FD002,official_test,40,183,37.0,31.368179321289062,-5.6318206787109375,5.6318206787109375,schedule_soon,programar mantenimiento preventivo,within_20_cycles
65,FD002,official_test,62,205,39.0,33.503700256347656,-5.496299743652344,5.496299743652344,schedule_soon,programar mantenimiento preventivo,within_20_cycles
66,FD002,official_test,76,222,36.0,34.526405334472656,-1.4735946655273438,1.4735946655273438,schedule_soon,programar mantenimiento preventivo,within_20_cycles
67,FD002,official_test,109,144,35.0,35.21014404296875,0.21014404296875,0.21014404296875,schedule_soon,programar mantenimiento preventivo,within_20_cycles
68,FD002,official_test,41,210,44.0,36.06962203979492,-7.930377960205078,7.930377960205078,schedule_soon,programar mantenimiento preventivo,within_20_cycles
69,FD002,official_test,253,139,43.0,36.093711853027344,-6.906288146972656,6.906288146972656,schedule_soon,programar mantenimiento preventivo,within_20_cycles
70,FD002,official_test,63,174,39.0,36.48872375488281,-2.5112762451171875,2.5112762451171875,schedule_soon,programar mantenimiento preventivo,within_20_cycles
71,FD002,official_test,58,247,26.0,36.94918441772461,10.94918441772461,10.94918441772461,schedule_soon,programar mantenimiento preventivo,within_20_cycles
72,FD002,official_test,257,199,56.0,37.018341064453125,-18.981658935546875,18.981658935546875,schedule_soon,programar mantenimiento preventivo,within_20_cycles
73,FD002,official_test,171,243,36.0,37.48797225952149,1.4879722595214844,1.4879722595214844,schedule_soon,programar mantenimiento preventivo,within_20_cycles
74,FD002,official_test,160,124,42.0,40.32283782958984,-1.6771621704101562,1.6771621704101562,schedule_soon,programar mantenimiento preventivo,within_20_cycles
75,FD002,official_test,162,185,41.0,41.89242172241211,0.8924217224121094,0.8924217224121094,schedule_soon,programar mantenimiento preventivo,within_20_cycles
76,FD002,official_test,15,165,37.0,41.98527145385742,4.985271453857422,4.985271453857422,schedule_soon,programar mantenimiento preventivo,within_20_cycles
77,FD002,official_test,144,143,43.0,42.4507064819336,-0.5492935180664062,0.5492935180664062,schedule_soon,programar mantenimiento preventivo,within_20_cycles
78,FD002,official_test,193,245,37.0,42.971641540527344,5.971641540527344,5.971641540527344,schedule_soon,programar mantenimiento preventivo,within_20_cycles
79,FD002,official_test,254,131,48.0,43.95186614990234,-4.048133850097656,4.048133850097656,schedule_soon,programar mantenimiento preventivo,within_20_cycles
80,FD002,official_test,198,120,32.0,45.16633224487305,13.166332244873049,13.166332244873049,schedule_soon,programar mantenimiento preventivo,within_20_cycles
81,FD002,official_test,132,122,39.0,45.7830924987793,6.783092498779297,6.783092498779297,schedule_soon,programar mantenimiento preventivo,within_20_cycles
82,FD002,official_test,142,163,47.0,47.98567581176758,0.985675811767578,0.985675811767578,schedule_soon,programar mantenimiento preventivo,within_20_cycles
83,FD002,official_test,133,186,38.0,48.22338485717773,10.223384857177734,10.223384857177734,schedule_soon,programar mantenimiento preventivo,within_20_cycles
84,FD002,official_test,212,187,57.0,48.36943435668945,-8.630565643310547,8.630565643310547,schedule_soon,programar mantenimiento preventivo,within_20_cycles
85,FD002,official_test,53,149,52.0,49.2701416015625,-2.7298583984375,2.7298583984375,schedule_soon,programar mantenimiento preventivo,within_20_cycles
86,FD002,official_test,39,149,48.0,49.75983810424805,1.7598381042480469,1.7598381042480469,schedule_soon,programar mantenimiento preventivo,within_20_cycles
87,FD002,official_test,189,178,43.0,49.97603988647461,6.976039886474609,6.976039886474609,schedule_soon,programar mantenimiento preventivo,within_20_cycles
88,FD002,official_test,140,306,55.0,50.109561920166016,-4.890438079833984,4.890438079833984,schedule_soon,programar mantenimiento preventivo,within_20_cycles
89,FD002,official_test,78,128,52.0,51.92549514770508,-0.0745048522949218,0.0745048522949218,schedule_soon,programar mantenimiento preventivo,within_20_cycles
90,FD002,official_test,85,183,47.0,52.1556510925293,5.155651092529297,5.155651092529297,schedule_soon,programar mantenimiento preventivo,within_20_cycles
91,FD002,official_test,68,218,56.0,54.06657028198242,-1.933429718017578,1.933429718017578,schedule_soon,programar mantenimiento preventivo,within_20_cycles
92,FD002,official_test,237,235,62.0,55.58500671386719,-6.4149932861328125,6.4149932861328125,schedule_soon,programar mantenimiento preventivo,within_20_cycles
93,FD002,official_test,20,101,54.0,56.55117034912109,2.5511703491210938,2.5511703491210938,schedule_soon,programar mantenimiento preventivo,within_20_cycles
94,FD002,official_test,96,140,49.0,56.69293975830078,7.692939758300781,7.692939758300781,schedule_soon,programar mantenimiento preventivo,within_20_cycles
